,Cday,CT,bin_ct,data_ct,both_mid_ct,both_midsep_ct
657,3,17,8,0.0,0.0,0.0
658,3,17,9,0.0,0.0,0.0
659,3,17,10,0.0,0.0,0.0
660,3,18,1,0.0,0.0,0.0
661,3,18,2,0.0,0.0,0.0
662,3,18,3,0.0,0.0,0.0
663,3,18,4,0.0,0.0,0.0
664,3,18,5,0.0,0.0,0.0
665,3,18,6,0.0,0.0,0.0
666,3,18,7,0.0,0.0,0.0
667,3,18,8,0.0,0.0,0.0
668,3,18,9,0.0,0.0,0.0
669,3,18,10,0.0,0.0,0.0
670,3,19,1,0.0,0.0,0.0
671,3,19,2,0.0,0.0,0.0
672,3,19,3,0.0,0.0,0.0
673,3,19,4,0.0,0.0,0.0
674,3,19,5,0.0,0.0,0.0
675,3,19,6,0.0,0.0,0.0
676,3,19,7,0.0,0.0,0.0
677,3,19,8,0.0,0.0,0.0
678,3,19,9,0.0,0.0,0.0
679,3,19,10,0.0,0.0,0.0
680,3,20,1,0.0,0.0,0.0
681,3,20,2,1.000000000014552,2.000000000029104,0.0
682,3,20,3,74.00000000000728,133.9999999995198,7.000000000247383
683,3,20,4,0.0,0.0,0.0
684,3,20,5,0.0,0.0,0.0
685,3,20,6,0.0,0.0,0.0
686,3,20,7,0.0,0.0,0.0
687,3,20,8,0.0,0.0,0.0
688,3,20,9,0.0,0.0,0.0
689,3,20,10,0.0,0.0,0.0
690,3,21,1,0.0,0.0,0.0
691,3,21,2,0.0,0.0,0.0
692,3,21,3,0.0,0.0,0.0
693,3,21,4,0.0,0.0,0.0
694,3,21,5,0.0,0.0,0.0
695,3,21,6,0.0,0.0,0.0
696,3,21,7,0.0,0.0,0.0
697,3,21,8,0.0,0.0,0.0
698,3,21,9,0.0,0.0,0.0
699,3,21,10,0.0,0.0,0.0
700,3,22,1,0.0,0.0,0.0
701,3,22,2,0.0,0.0,0.0
702,3,22,3,0.0,0.0,0.0
703,3,22,4,0.0,0.0,0.0
704,3,22,5,0.0,0.0,0.0
705,3,22,6,0.0,0.0,0.0
706,3,22,7,65.99999999992724,131.99999999985448,0.0
707,3,22,8,43.000000000029104,80.00000000005821,3.0
708,3,22,9,0.0,0.0,0.0
709,3,22,10,0.0,0.0,0.0
710,3,23,1,0.0,0.0,0.0
711,3,23,2,0.0,0.0,0.0
712,3,23,3,0.0,0.0,0.0
713,3,23,4,0.0,0.0,0.0
714,3,23,5,0.0,0.0,0.0
715,3,23,6,0.0,0.0,0.0
716,3,23,7,0.0,0.0,0.0
717,3,23,8,0.0,0.0,0.0
718,3,23,9,0.0,0.0,0.0
719,3,23,10,0.0,0.0,0.0
720,4,0,1,0.0,0.0,0.0
721,4,0,2,0.0,0.0,0.0
722,4,0,3,0.0,0.0,0.0
723,4,0,4,0.0,0.0,0.0
724,4,0,5,0.0,0.0,0.0
725,4,0,6,0.0,0.0,0.0
726,4,0,7,0.0,0.0,0.0
727,4,0,8,0.0,0.0,0.0
728,4,0,9,0.0,0.0,0.0
729,4,0,10,0.0,0.0,0.0
730,4,1,1,0.0,0.0,0.0
731,4,1,2,0.0,0.0,0.0
732,4,1,3,0.0,0.0,0.0
733,4,1,4,0.0,0.0,0.0
734,4,1,5,0.0,0.0,0.0
735,4,1,6,0.0,0.0,0.0
736,4,1,7,0.0,0.0,0.0
737,4,1,8,1.4999999999986358,2.9999999999972715,0.0
738,4,1,9,0.0,0.0,0.0
739,4,1,10,0.0,0.0,0.0
740,4,2,1,0.0,0.0,0.0
741,4,2,2,0.0,0.0,0.0
742,4,2,3,0.0,0.0,0.0
743,4,2,4,0.0,0.0,0.0
744,4,2,5,0.0,0.0,0.0
745,4,2,6,0.0,0.0,0.0
746,4,2,7,0.0,0.0,0.0
747,4,2,8,0.0,0.0,0.0
748,4,2,9,0.0,0.0,0.0
749,4,2,10,0.0,0.0,0.0
750,4,3,1,0.0,0.0,0.0
751,4,3,2,0.0,0.0,0.0
752,4,3,3,0.0,0.0,0.0
753,4,3,4,0.0,0.0,0.0
754,4,3,5,0.0,0.0,0.0
755,4,3,6,96.49999999984084,88.9999999996453,52.00000000001819
756,4,3,7,8.500000000061846,2.999999999996362,7.000000000063665
757,4,3,8,4.99999999992815,8.000000000129148,0.9999999998635758
758,4,3,9,0.0,0.0,0.0
759,4,3,10,0.0,0.0,0.0
760,4,4,1,0.0,0.0,0.0
761,4,4,2,0.0,0.0,0.0
762,4,4,3,0.0,0.0,0.0
763,4,4,4,0.0,0.0,0.0
764,4,4,5,0.0,0.0,0.0
765,4,4,6,0.0,0.0,0.0
766,4,4,7,0.0,0.0,0.0
767,4,4,8,0.0,0.0,0.0
768,4,4,9,0.0,0.0,0.0
769,4,4,10,0.0,0.0,0.0
770,4,5,1,0.0,0.0,0.0
771,4,5,2,0.0,0.0,0.0
772,4,5,3,0.0,0.0,0.0
773,4,5,4,0.0,0.0,0.0
774,4,5,5,0.0,0.0,0.0
775,4,5,6,0.0,0.0,0.0
776,4,5,7,0.0,0.0,0.0
777,4,5,8,0.0,0.0,0.0
778,4,5,9,0.0,0.0,0.0
779,4,5,10,0.0,0.0,0.0
780,4,6,1,0.0,0.0,0.0
781,4,6,2,0.0,0.0,0.0
782,4,6,3,0.0,0.0,0.0
783,4,6,4,0.0,0.0,0.0
784,4,6,5,0.0,0.0,0.0
785,4,6,6,0.0,0.0,0.0
786,4,6,7,0.0,0.0,0.0
787,4,6,8,28.999999999990905,57.99999999998181,0.0
788,4,6,9,49.49999999987631,79.00000000002183,9.999999999865395
789,4,6,10,0.0,0.0,0.0
790,4,7,1,0.0,0.0,0.0
791,4,7,2,0.0,0.0,0.0
792,4,7,3,0.0,0.0,0.0
793,4,7,4,0.0,0.0,0.0
794,4,7,5,0.0,0.0,0.0
795,4,7,6,0.0,0.0,0.0
796,4,7,7,0.0,0.0,0.0
797,4,7,8,0.0,0.0,0.0
798,4,7,9,0.0,0.0,0.0
799,4,7,10,0.0,0.0,0.0
800,4,8,1,0.0,0.0,0.0
801,4,8,2,0.0,0.0,0.0
802,4,8,3,0.0,0.0,0.0
803,4,8,4,0.0,0.0,0.0
